ACTINIUM	89	Ac	112	171	250
3S	0	0	0.00549	0.003859	
4S	0.05754	0.02863	0.0001357	0.00009396	
2P	0	0	0.08931	0.0537	
3P	0	1.148	0.007855	0.004929	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	1.359	1.299	
3P	0	0.5166	1.311	1.244	
-					
PRASEODYMIUM	59	Pr	217	255	199
3S	0	0	0	0.06419	
4S	0	0	0.02525	0.01877	
5S	0	0	0.004517	0.003326	
6S	0.09457	0.06718	0.0004223	0.0003187	
3P	0	0	0.3317	0.2681	
4P	0	0	0.08715	0.06449	
5P	0	2.571	0.01286	0.009315	
3D	0	0	1.183	0.7688	
4D	0	0	0.1518	0.1028	
4F	0.6794	2.543	0.007147	0.004005	
-					
PROMETHIUM	61	Pm	163	255	199
3S	0	0	0	0.0687	
4S	0	0	0.02715	0.02045	
5S	0	0	0.004853	0.003587	
6S	0.08895	0.06528	0.0004381	0.0003385	
3P	0	0	0	0.2826	
4P	0	0	0.09432	0.07018	
5P	0	3.028	0.01373	0.01004	
3D	0	0	1.359	0.89	
4D	0	0	0.1721	0.1179	
4F	0.7066	2.974	0.01658	0.009315	
-					
PROTACTINIUM	91	Pa	0	161	255
4S	0	0	0.06104	0.04785	
5S	0	0	0.01957	0.01452	
4P	0	0	0.2031	0.1639	
5P	0	0	0.05938	0.0452	
6P	0	2.853	0.01031	0.007839	
4D	0	0	0.4938	0.3961	
5D	0	0	0.1051	0.0799	
6D	3.88	0.657	0.0009802	0.0007398	
4F	0	0	1.054	0.6681	
5F	0.6278	5.012	0.0121	0.008039	
-					
RADIUM	88	Ra	0	125	0
4S	0	0	0.05715	0.04464	
5S	0	0	0.01696	0.01282	
6S	0	0.2011	0.003407	0.002488	
7S	0.08069	0.05649	0.0003573	0.0002597	
4P	0	0	0.1916	0.1533	
5P	0	0	0.05145	0.03944	
6P	0	2.097	0.008305	0.006353	
4D	0	0	0.4635	0.3665	
5D	0	0	0.08856	0.06673	
4F	0	0	0.864	0.541	
-					
RADON	86	Rn	66	130	150
4S	0	0	0.05456	0.0425	
5S	0	0	0.01545	0.01146	
6S	0	0.1774	0.00248	0.001919	
4P	0	0	0.1838	0.1462	
5P	0	0	0.04625	0.03513	
6P	11.37	1.279	0.005588	0.00417	
4D	0	0	0.4422	0.3466	
5D	0	0	0.07581	0.05674	
4F	0	0	0.7477	0.4651	
-					
RHENIUM	75	Re	38	125	171
4S	0	0	0.04077	0.03138	
5S	0	0	0.008306	0.006329	
6S	0.06144	0.08402	0.0007766	0.0005712	
4P	0	0	0.1401	0.109	
5P	0	0	0.02382	0.01794	
4D	0	0	0.3151	0.2346	
5D	28.08	12.1	0.01256	0.00916	
4F	0	0	0.2776	0.1631	
-					
RHODIUM	45	Rh	10	125	140
3S	0	0	0.05018	0.03802	
4S	0	0	0.01055	0.007675	
5S	0.03563	0.03661	0.0003486	0.0002536	
3P	0	0	0.2009	0.1475	
4P	0	0	0.03245	0.02345	
3D	0	0	0.321	0.1949	
4D	22.7	27.83	0.02016	0.01265	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.593	1.611	
4P	0	0	1.677	1.664	
3D	0	0	1.21	1.205	
4D	-0.1268	0.6878	1.264	1.231	
-					
RUBIDIUM	37	Rb	112	46	176
3S	0	0	0.0322	0.02399	
4S	0	0.1672	0.004548	0.003341	
5S	0.02721	0.01714	0.000134	0.00009685	
3P	0	0	0.1162	0.08143	
4P	0	2.3	0.01214	0.008598	
3D	0	0	0.09932	0.05805	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.61	1.593	
4P	0	1.683	1.633	1.614	
3D	0	0	1.164	1.124	
-					
RUTHENIUM	44	Ru	36	143	143
3S	0	0	0.04788	0.03622	
4S	0	0	0.009623	0.007145	
5S	0.03767	0.03757	0.0003378	0.0002453	
3P	0	0	0.1899	0.1387	
4P	0	0	0.03012	0.02165	
3D	0	0	0.2836	0.1717	
4D	25.55	20.6	0.01494	0.009311	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.601	1.613	
4P	0	0	1.677	1.661	
3D	0	0	1.21	1.201	
4D	0.01246	0.8005	1.254	1.22	
-					
SAMARIUM	62	Sm	143	255	199
4S	0	0	0.02813	0.02121	
5S	0	0	0.005014	0.003713	
6S	0.08622	0.06436	0.0004449	0.0003411	
3P	0	0	0	0.2886	
4P	0	0	0.09768	0.07302	
5P	0	3.285	0.0141	0.01039	
3D	0	0	1.456	0.9547	
4D	0	0	0.1831	0.1249	
4F	0.7216	3.012	0.02318	0.01294	
-					
SCANDIUM	21	Sc	230	230	230
2S	0	0	0.05488	0.03967	
3S	0	0	0.007886	0.005545	
4S	0.2018	0.1381	0.000606	0.000426	
2P	0	0	0.1419	0.08622	
3P	0	0	0.01417	0.008915	
3D	3.137	1.92	0.0001143	0.00005936	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	1.417	1.37	
3P	0	0	1.386	1.324	
3D	0.2594	0.6457	0.7486	0.6884	
-					
SELENIUM	34	Se	255	161	0
3S	0	0	0.0262	0.01945	
4S	0	0.2065	0.003009	0.00213	
2P	0	0	0	0.5917	
3P	0	0	0.0882	0.06091	
4P	8.057	0.5578	0.003854	0.002693	
3D	0	0	0.05547	0.03144	
asymmetry					
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	0	0.7728	
3P	0	0	1.594	1.571	
4P	1.844	1.215	1.58	1.566	
3D	0	0	1.12	1.071	
-					
SILICON	14	Si	240	200	160
2S	0	0	0.01895	0.01303	
3S	0.288	0.4232	0.001617	0.001048	
2P	0	0	0.01914	0.01112	
3P	0.3303	0.3288	0.0003246	0.0001919	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
2P	0	0	1.105	1.026	
3P	0.6344	0.7754	1.068	0.9904	
-					
SILVER	47	Ag	192	192	192
3S	0	0	0.05493	0.04178	
4S	0	0	0.01211	0.008858	
5S	0.03113	0.03504	0.0003656	0.0002744	
3P	0	0	0.2225	0.1651	
4P	0	0	0.03859	0.02764	
3D	0	0	0.4052	0.2474	
4D	16.62	37.48	0.03363	0.02174	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.571	1.602	
4P	0	0	1.688	1.673	
3D	0	0	1.203	1.209	
4D	-0.3695	0.4564	1.275	1.264	
-					
SODIUM	11	Na	171	92	242
1S	0	0	0.1781	0.1165	
2S	0	0	0.008555	0.005825	
3S	0.1001	0.0478	0.0001313	0.00008622	
2P	0	4.292	0.004665	0.002597	
asymmetry					
1S	2	2	2	2	
2S	2	2	2	2	
3S	2	2	2	2	
2P	0	-0.2907	0.8701	0.7882	
-					
STRONTIUM	38	Sr	0	255	0
3S	0	0	0.03426	0.02563	
4S	0	0	0.005313	0.00394	
5S	0.1014	0.07756	0.0004897	0.0003549	
3P	0	0	0.1262	0.08917	
4P	0	3.307	0.0148	0.01047	
3D	0	0	0.1186	0.06934	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.612	1.6	
4P	0	1.847	1.637	1.614	
3D	0	0	1.177	1.138	
-					
SULFUR	16	S	255	255	48
2S	0	0	0.02782	0.01941	
3S	0	0.4493	0.00289	0.001935	
2P	0	0	0.03866	0.02265	
3P	4.371	0.6051	0.001764	0.001053	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
2P	0	0	1.225	1.153	
3P	1.852	0.1232	1.182	1.107	
-					
TANTALUM	73	Ta	77	166	255
4S	0	0	0.0386	0.02951	
5S	0	0	0.0074	0.005562	
6S	0.06922	0.0795	0.0006778	0.0004984	
4P	0	0	0.1326	0.1026	
5P	0	0	0.02058	0.01551	
4D	0	0	0.293	0.2145	
5D	18.44	4.898	0.005913	0.004283	
4F	0	0	0.2194	0.1274	
-					
TECHNETIUM	43	Tc	59	158	158
3S	0	0	0.04555	0.0344	
4S	0	0	0.008967	0.006627	
5S	0.1015	0.1085	0.0008309	0.0005961	
3P	0	0	0.1792	0.1298	
4P	0	0	0.02784	0.02003	
3D	0	0	0.25	0.1502	
4D	22.11	13.14	0.009736	0.006034	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.606	1.613	
4P	0	0	1.672	1.656	
3D	0	0	1.21	1.195	
4D	0.05854	0.8906	1.245	1.209	
-					
TELLURIUM	52	Te	212	122	0
3S	0	0	0.06629	0.05135	
4S	0	0	0.01727	0.01275	
5S	0.02249	0.2137	0.002321	0.001692	
3P	0	0	0.275	0.2099	
4P	0	0	0.05779	0.04212	
5P	4.758	0.5043	0.003587	0.002642	
3D	0	0	0.672	0.4205	
4D	0	0	0.07684	0.04979	
asymmetry					
3S	2	2	2	2	
4S	2	2	2	2	
5S	2	2	2	2	
3P	0	0	1.46	1.548	
4P	0	0	1.697	1.691	
5P	1.87	0.8943	1.718	1.709	
3D	0	0	1.131	1.185	
4D	0	0	1.317	1.295	
-					
TERBIUM	65	Tb	48	255	199
4S	0	0	0.03096	0.02344	
5S	0	0	0.005385	0.004055	
6S	0.07762	0.06119	0.0004578	0.0003361	
4P	0	0	0.1074	0.08123	
5P	0	4.194	0.01509	0.01127	
3D	0	0	0	1.167	
4D	0	0	0.2128	0.1482	
4F	0.8355	2.839	0.05255	0.02931	
-					
THALLIUM	81	Tl	166	84	77
4S	0	0	0.04812	0.03714	
5S	0	0	0.01165	0.008787	
6S	0.04359	0.1169	0.001263	0.00094	
4P	0	0	0.1633	0.1288	
5P	0	0	0.03413	0.02609	
6P	0.4204	0.06224	0.0003137	0.0002401	
4D	0	0	0.3865	0.2949	
5D	0	53.07	0.04716	0.03521	
4F	0	0	0.5008	0.304	
-					
THORIUM	90	Th	0	186	255
4S	0	0	0.05982	0.0468	
5S	0	0	0.01873	0.01409	
6S	0	0.2084	0.004019	0.002961	
4P	0	0	0.1993	0.1605	
5P	0	0	0.05729	0.04352	
6P	0	2.914	0.01071	0.008189	
4D	0	0	0.4843	0.3864	
5D	0	0	0.1012	0.07687	
6D	8.905	1.459	0.002189	0.001647	
4F	0	0	0.9895	0.6243	
-					
THULIUM	69	Tm	0	212	82
4S	0	0	0.03455	0.02625	
5S	0	0	0.005939	0.004458	
6S	0.06597	0.05651	0.0004629	0.0003375	
4P	0	0	0.1189	0.09159	
5P	0	5.803	0.01574	0.01189	
4D	0	0	0.2497	0.1797	
4F	1.112	2.493	0.1217	0.06917	
-					
TIN	50	Sn	102	128	128
3S	0	0	0.0619	0.04753	
4S	0	0	0.01506	0.01108	
5S	0.06435	0.1813	0.001693	0.001242	
3P	0	0	0.255	0.192	
4P	0	0	0.04956	0.03589	
5P	1.173	0.1432	0.00109	0.0007747	
3D	0	0	0.5551	0.3442	
4D	0	8.636	0.05773	0.03713	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.519	1.576	
4P	0	0	1.694	1.685	
5P	1.831	0.7886	1.708	1.685	
3D	0	0	1.17	1.203	
4D	0	0.3839	1.304	1.279	
-					
TITANIUM	22	Ti	191	194	199
2S	0	0	0.06057	0.04422	
3S	0	0	0.009115	0.006418	
4S	0.195	0.143	0.0006835	0.0004828	
2P	0	0	0.1746	0.1069	
3P	0	0	0.01752	0.01104	
3D	5.069	4.019	0.0003606	0.0001894	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	1.436	1.397	
3P	0	0	1.412	1.353	
3D	0.1355	0.5485	0.7876	0.7259	
-					
TUNGSTEN	74	W	33	148	214
4S	0	0	0.03965	0.03048	
5S	0	0	0.00789	0.005907	
6S	0.06529	0.08196	0.0007291	0.0005374	
4P	0	0	0.1363	0.1057	
5P	0	0	0.02204	0.01665	
4D	0	0	0.3045	0.2243	
5D	24.83	7.999	0.008826	0.006518	
4F	0	0	0.2463	0.1449	
-					
URANIUM	92	U	0	143	255
4S	0	0	0.06238	0.04892	
5S	0	0	0.02036	0.01513	
4P	0	0	0.2069	0.1673	
5P	0	0	0.06144	0.04741	
6P	0	3.032	0.01071	0.008263	
4D	0	0	0.5029	0.4058	
5D	0	0	0.1101	0.08387	
6D	4.018	0.6811	0.001007	0.0007612	
4F	0	0	1.121	0.7138	
5F	0.6423	6.047	0.0203	0.01339	
-					
VANADIUM	23	V	166	166	171
2S	0	0	0.06641	0.04876	
3S	0	0	0.01024	0.007382	
4S	0.1831	0.1442	0.0007539	0.0005352	
2P	0	0	0.2117	0.1308	
3P	0	0	0.02118	0.01354	
3D	5.8	5.934	0.0008079	0.0004271	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	1.449	1.419	
3P	0	0	1.441	1.386	
3D	0.02253	0.4533	0.8252	0.7618	
-					
XENON	54	Xe	66	158	176
3S	0	0	0.0708	0.05501	
4S	0	0	0.01957	0.01454	
5S	0	0.2146	0.002943	0.00222	
3P	0	0	0.2939	0.2273	
4P	0	0	0.06656	0.04883	
5P	12.87	1.149	0.007647	0.00516	
3D	0	0	0.8023	0.5067	
4D	0	0	0.09826	0.06479	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.37	1.507	
4P	0	0	1.697	1.696	
5P	1.882	1.057	1.727	1.695	
3D	0	0	1.075	1.157	
4D	0	0	1.327	1.313	
-					
YTTERBIUM	70	Yb	0	191	56
4S	0	0	0.03542	0.02694	
5S	0	0	0.006064	0.00454	
6S	0.06319	0.05539	0.0004637	0.0003386	
4P	0	0	0.1217	0.09397	
5P	0	6.296	0.01592	0.01204	
4D	0	0	0.2587	0.1871	
4F	1.19	2.417	0.1449	0.0827	
-					
YTTRIUM	39	Y	148	255	255
3S	0	0	0.03646	0.02727	
4S	0	0	0.006075	0.004516	
5S	0.1137	0.09302	0.0005673	0.0004268	
3P	0	0	0.1363	0.09695	
4P	0	4.329	0.0173	0.01217	
3D	0	0	0.14	0.08223	
4D	4.809	0.513	0.0007401	0.0004422	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.613	1.605	
4P	0	1.974	1.645	1.621	
3D	0	0	1.185	1.155	
4D	0.6208	1.403	1.206	1.156	
-					
ZINC	30	Zn	125	128	176
2S	0	0	0.1036	0.07982	
3S	0	0	0.01925	0.01418	
4S	0.05954	0.1148	0.001148	0.0008342	
2P	0	0	0.6057	0.3907	
3P	0	0	0.05671	0.038	
3D	3.6	7.348	0.02017	0.01117	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	1.254	1.4	
3P	0	0	1.56	1.526	
3D	0.2488	-0.1297	1.042	0.9824	
-					
ZIRCONIUM	40	Zr	148	224	224
3S	0	0	0.03877	0.02892	
4S	0	0	0.006841	0.005004	
5S	0.1152	0.1014	0.0006274	0.0004785	
3P	0	0	0.1464	0.1049	
4P	0	5.183	0.01988	0.01416	
3D	0	0	0.1633	0.09685	
4D	12.19	1.737	0.002022	0.001215	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.613	1.608	
4P	0	1.955	1.653	1.635	
3D	0	0	1.194	1.166	
4D	0.4932	1.269	1.218	1.172	
-					
