ACTINIUM	89	Ac	112	171	250
CALCIUM	20	Ca	61	255	0
2S	0	0	0.04916	0.0352	
3S	0	0	0.006844	0.00476	
4S	0.1989	0.1269	0.0005194	0.0003663	
2P	0	0	0.1132	0.06865	
3P	0	1.782	0.01122	0.00698	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	1.391	1.337	
3P	0	1.4	1.35	1.286	
-					
CALIFORNIUM	98	Cf	161	54	212
4S	0	0	0	0.05542	
5S	0	0	0.02495	0.01889	
4P	0	0	0.2285	0.1869	
5P	0	0	0.07624	0.05828	
6P	0	4.165	0.01257	0.009544	
4D	0	0	0.5495	0.4583	
5D	0	0	0.1384	0.1071	
6D	4.555	0.7999	0.001096	0.0008632	
4F	0	0	1.558	1.021	
5F	0	3.35	0.0976	0.0661	
-					
CARBON	6	C	144	144	144
1S	0	0	0.02228	0.01367	
2S	1.23	1.17	0.001028	0.000665	
2P	6.121	1.881	0.00003961	0.00002149	
asymmetry					
1S	2.0	2.0	2.0	2.0	
2S	2.0	2.0	2.0	2.0	
2P	1.309	1.505	0.3801	0.3847	
-					
CERIUM	58	Ce	255	255	199
3S	0	0	0	0.06238	
4S	0	0	0.02424	0.01796	
5S	0	0.2145	0.004347	0.003194	
6S	0.09745	0.06807	0.000413	0.0003037	
3P	0	0	0.3288	0.2601	
4P	0	0	0.0832	0.06196	
5P	0	2.368	0.01231	0.008924	
3D	0	0	1.1	0.7116	
4D	0	0	0.1416	0.09544	
4F	0.6255	2.033	0.003945	0.002211	
-					
CHLORINE	17	Cl	31	240	31
2S	0	0	0.03285	0.02299	
3S	0	0.402	0.003633	0.002598	
2P	0	0	0.05215	0.03103	
3P	13.88	0.6423	0.003219	0.001952	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
2P	0	0	1.277	1.207	
3P	1.774	-0.1939	1.229	1.159	
-					
CHROMIUM	24	Cr	138	153	199
2S	0	0	0.07225	0.05331	
3S	0	0	0.01135	0.008128	
4S	0.06459	0.04686	0.0003035	0.0002162	
2P	0	0	0.254	0.1577	
3P	0	0	0.02483	0.01591	
3D	9.239	8.523	0.001685	0.0008988	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	1.456	1.435	
3P	0	0	1.464	1.41	
3D	0.09123	0.439	0.862	0.7972	
-					
COBALT	27	Co	240	144	160
2S	0	0	0.08859	0.06704	
3S	0	0	0.01534	0.01113	
4S	0.114	0.1319	0.0009892	0.0007131	
2P	0	0	0.409	0.2591	
3P	0	0	0.03954	0.026	
3D	4.356	8.738	0.006779	0.003727	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	1.43	1.453	
3P	0	0	1.519	1.479	
3D	-0.1328	0.09736	0.9569	0.9001	
-					
COPPER	29	Cu	200	128	51
2S	0	0	0.09872	0.07563	
3S	0	0	0.0178	0.01297	
4S	0.03608	0.04177	0.0004054	0.0002935	
2P	0	0	0.5347	0.3437	
3P	0	0	0.05019	0.03302	
3D	7.285	9.944	0.0148	0.008139	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	1.344	1.429	
3P	0	0	1.548	1.51	
3D	-0.2447	0.07413	1.017	0.9557	
-					
CURIUM	96	Cm	120	92	227
4S	0	0	0	0.05326	
5S	0	0	0.02338	0.01771	
4P	0	0	0.2208	0.1805	
5P	0	0	0.07162	0.05447	
6P	0	3.761	0.01199	0.009132	
4D	0	0	0.5352	0.442	
5D	0	0	0.1292	0.09962	
6D	4.427	0.7636	0.001114	0.0008049	
4F	0	0	1.405	0.9125	
5F	0	4.626	0.06579	0.0441	
-					
DYSPROSIUM	66	Dy	31	255	199
4S	0	0	0.03188	0.02417	
5S	0	0	0.005542	0.004175	
6S	0.07466	0.06002	0.0004594	0.0003355	
3P	0	0	0	0	
4P	0	0	0.1101	0.08419	
5P	0	4.55	0.01528	0.01147	
3D	0	0	0	1.245	
4D	0	0	0.2224	0.156	
4F	0.8948	2.748	0.06621	0.03707	
-					
EINSTEINIUM	99	Es	179	31	212
4S	0	0	0	0.05648	
5S	0	0	0.0257	0.01949	
4P	0	0	0	0.1899	
5P	0	0	0.07853	0.06016	
6P	0	4.369	0.01278	0.009825	
4D	0	0	0.5556	0.4658	
5D	0	0	0.1429	0.1108	
6D	4.606	0.817	0.001074	0.0008819	
4F	0	0	1.637	1.078	
5F	0	2.906	0.1151	0.07836	
-					
ERBIUM	68	Er	0	230	117
4S	0	0	0.03369	0.02554	
5S	0	0	0.00582	0.004372	
6S	0.06879	0.05764	0.0004615	0.0003365	
4P	0	0	0.116	0.08918	
5P	0	5.353	0.0156	0.01177	
3D	0	0	0	1.353	
4D	0	0	0.2404	0.1721	
4F	1.034	2.573	0.1007	0.0568	
-					
EUROPIUM	63	Eu	97	255	199
4S	0	0	0.02907	0.02197	
5S	0	0	0.005179	0.003841	
6S	0.08359	0.06343	0.0004506	0.0003401	
3P	0	0	0	0.2908	
4P	0	0	0.101	0.07581	
5P	0	3.566	0.01456	0.01075	
3D	0	0	1.562	1.022	
4D	0	0	0.1931	0.1326	
4F	0.7484	2.986	0.03134	0.01739	
-					
FERMIUM	100	Fm	179	31	186
4S	0	0	0	0.05732	
5S	0	0	0.02647	0.02008	
4P	0	0	0	0.1929	
5P	0	0	0.08076	0.06204	
6P	0	4.584	0.013	0.009991	
4D	0	0	0.5623	0.4733	
5D	0	0	0.1474	0.1145	
6D	4.644	0.8333	0.001053	0.0008855	
4F	0	0	1.716	1.136	
5F	0	2.601	0.1345	0.09207	
-					
FLUORINE	9	F	144	224	80
1S	0	0	0.09487	0.06041	
2S	0	0.5185	0.004358	0.002846	
2P	9.305	8.417	0.001139	0.0006817	
asymmetry					
1S	0	0	2	2	
2S	0	2	2	2	
2P	0.2535	1.16	0.6751	0.6257	
-					
FRANCIUM	87	Fr	66	0	102
4S	0	0	0.05585	0.04357	
5S	0	0	0.01624	0.01209	
6S	0	0.2007	0.00301	0.002222	
7S	0.01814	0.01333	0.00009951	0.00007453	
4P	0	0	0.1877	0.1497	
5P	0	0	0.04862	0.03744	
6P	15.27	1.649	0.007339	0.005282	
4D	0	0	0.453	0.3564	
5D	0	0	0.08246	0.06198	
4F	0	0	0.8048	0.5021	
-					
GADOLINIUM	64	Gd	69	255	199
4S	0	0	0.03024	0.02285	
5S	0	0	0.005571	0.004169	
6S	0.09344	0.07553	0.0005279	0.000393	
4P	0	0	0.1051	0.07917	
5P	0	4.229	0.01589	0.01179	
3D	0	0	1.478	1.091	
4D	0	0	0.2054	0.1422	
5D	4.708	0.7978	0.001273	0.0009494	
4F	0	1.287	0.0386	0.02155	
-					
GALLIUM	31	Ga	194	143	143
2S	0	0	0	0.08392	
3S	0	0	0.02104	0.01526	
4S	0.04727	0.1696	0.00164	0.001193	
2P	0	0	0.6851	0.4412	
3P	0	0	0.0641	0.04302	
4P	0.3982	0.0377	0.0003594	0.0002415	
3D	0	3.626	0.0269	0.01496	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	1.089	1.352	
3P	0	0	1.572	1.537	
4P	1.883	0.8149	1.576	1.538	
3D	0	-0.09313	1.06	1.002	
-					
GERMANIUM	32	Ge	102	143	143
2S	0	0	0	0.08817	
3S	0	0	0.02268	0.01661	
4S	0.0224	0.1991	0.002063	0.001511	
2P	0	0	0.7071	0.4966	
3P	0	0	0.07128	0.04894	
4P	1.528	0.1323	0.001179	0.0007464	
3D	0	0	0.03462	0.01943	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	0.6629	1.274	
3P	0	0	1.578	1.552	
4P	1.888	0.912	1.604	1.522	
3D	0	0	1.083	1.031	
-					
GOLD	79	Au	255	209	35
4S	0	0	0.04558	0.03513	
5S	0	0	0.0104	0.007728	
6S	0.01881	0.02865	0.0003643	0.0002709	
4P	0	0	0.1554	0.1223	
5P	0	0	0.03004	0.02265	
4D	0	0	0.3629	0.2739	
5D	25.95	38.67	0.03557	0.02634	
4F	0	0	0.4176	0.2511	
-					
HAFNIUM	72	Hf	77	194	255
4S	0	0	0.03753	0.02864	
5S	0	0	0.006944	0.005227	
6S	0.07176	0.07552	0.0006179	0.0004554	
4P	0	0	0.1289	0.09953	
5P	0	0	0.01889	0.01426	
4D	0	0	0.2819	0.2049	
5D	11.05	2.598	0.003377	0.00245	
4F	0	0.9905	0.1922	0.1108	
-					
HELIUM	2	He	217	255	255
1S	0	2.777	0.0001893	0.0001197	
asymmetry					
1S	2.0	2.0	2.0	2.0	
-					
HOLMIUM	67	Ho	0	255	156
4S	0	0	0.03281	0.02482	
5S	0	0	0.005676	0.004272	
6S	0.07172	0.05884	0.0004605	0.0003357	
4P	0	0	0.113	0.08671	
5P	0	4.933	0.01548	0.01164	
3D	0	0	0	1.327	
4D	0	0	0.231	0.1646	
4F	0.961	2.659	0.08226	0.04616	
-					
HYDROGEN	1	H	255	255	255
1S	1.884	0.2892	0.000005522	0.000002755	
asymmetry					
1S	2.0	2.0	2.0	2.0	
-					
INDIUM	49	In	166	117	115
3S	0	0	0.05964	0.04559	
4S	0	0	0.01406	0.01027	
5S	0.07224	0.1482	0.001376	0.001024	
3P	0	0	0.2442	0.183	
4P	0	0	0.04562	0.0331	
5P	0.3556	0.04663	0.0003715	0.0002737	
3D	0	0	0.5017	0.3098	
4D	0	27.2	0.04903	0.0315	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.54	1.587	
4P	0	0	1.692	1.683	
5P	1.819	0.8089	1.702	1.695	
3D	0	0	1.184	1.208	
4D	0	0.02325	1.295	1.27	
-					
IODINE	53	I	148	0	148
3S	0	0	0.06843	0.0532	
4S	0	0	0.01839	0.01365	
5S	0	0.2169	0.002598	0.001977	
3P	0	0	0.2847	0.2186	
4P	0	0	0.06208	0.04544	
5P	7.985	0.7803	0.00541	0.003812	
3D	0	0	0.7359	0.462	
4D	0	0	0.08728	0.05671	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.421	1.53	
4P	0	0	1.697	1.694	
5P	1.882	0.9759	1.722	1.703	
3D	0	0	1.106	1.172	
4D	0	0	1.322	1.301	
-					
IRIDIUM	77	Ir	23	84	135
4S	0	0	0.04314	0.03324	
5S	0	0	0.009378	0.007072	
6S	0.05175	0.08275	0.0008514	0.0006332	
4P	0	0	0.1477	0.1155	
5P	0	0	0.02718	0.02047	
4D	0	0	0.3389	0.2542	
5D	24.29	23.66	0.02224	0.01607	
4F	0	0	0.3438	0.2043	
-					
IRON	26	Fe	224	102	51
2S	0	0	0.08336	0.06252	
3S	0	0	0.01397	0.01018	
4S	0.1328	0.1364	0.0009332	0.0006707	
2P	0	0	0.3529	0.2216	
3P	0	0	0.03442	0.02235	
3D	4.833	8.751	0.004512	0.002285	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	1.449	1.453	
3P	0	0	1.501	1.458	
3D	-0.1604	0.1808	0.9315	0.8663	
-					
KRYPTON	36	Kr	92	184	209
3S	0	0	0.03019	0.0224	
4S	0	0.1634	0.003928	0.002941	
3P	0	0	0.1063	0.07449	
4P	28.51	1.578	0.009539	0.006305	
3D	0	0	0.08323	0.04756	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
3P	0	0	1.605	1.588	
4P	1.686	1.52	1.634	1.586	
3D	0	0	1.153	1.106	
-					
LANTHANUM	57	La	112	212	255
3S	0	0	0	0.06054	
4S	0	0	0.02343	0.01732	
5S	0	0	0.004501	0.003304	
6S	0.1165	0.08278	0.0004684	0.0003354	
3P	0	0	0.321	0.2522	
4P	0	0	0.08046	0.05969	
5P	0	2.428	0.01267	0.009316	
3D	0	0	1.02	0.6559	
4D	0	0	0.1343	0.08973	
5D	4.085	0.5192	0.001122	0.0007626	
-					
LAWRENCIUM	103	Lr	199	0	102
5S	0	0	0.02874	0.02183	
6S	0	0	0.005592	0.004236	
4P	0	0	0	0.2013	
5P	0	0	0.08693	0.06782	
6P	0	5.305	0.01383	0.01061	
4D	0	0	0.5744	0.4944	
5D	0	0	0.1598	0.1254	
6D	4.705	0.8836	0.001114	0.0008333	
4F	0	0	1.963	1.32	
5F	0	2.382	0.2016	0.1399	
-					
LEAD	82	Pb	87	89	97
4S	0	0	0.04949	0.03816	
5S	0	0	0.01242	0.009206	
6S	0.03914	0.1411	0.001529	0.001131	
4P	0	0	0.1674	0.1322	
5P	0	0	0.03644	0.02775	
6P	1.303	0.1797	0.0009022	0.0006851	
4D	0	0	0.398	0.3052	
5D	0	42.89	0.05258	0.03933	
4F	0	0	0.5452	0.333	
-					
LITHIUM	3	Li	204	128	255
1S	0	0	0.001313	0.0007912	
2S	0.4805	0.1387	0.00001694	0.00001029	
asymmetry					
1S	2	2	2	2	
2S	2	2	2	2	
-					
LUTETIUM	71	Lu	0	171	36
4S	0	0	0.0365	0.02778	
5S	0	0	0.006484	0.004846	
6S	0.07067	0.06762	0.0005502	0.0004038	
4P	0	0	0.1252	0.09678	
5P	0	7.245	0.01748	0.01317	
4D	0	0	0.2699	0.196	
5D	4.505	1.001	0.001292	0.0009759	
4F	0	1.217	0.167	0.09625	
-					
MAGNESIUM	12	Mg	138	255	0
1S	0	0	0	0.1524	
2S	0	0	0.01168	0.007782	
3S	0.2714	0.1918	0.0005797	0.000389	
2P	0	0	0.007752	0.004669	
asymmetry					
1S	2	2	2	2	
2S	2	2	2	2	
3S	2	2	2	2	
2P	0	0	0.9517	0.8688	
-					
MANGANESE	25	Mn	156	122	199
2S	0	0	0.07784	0.05792	
3S	0	0	0.01279	0.009145	
4S	0.151	0.1407	0.000875	0.00063	
2P	0	0	0.3011	0.1878	
3P	0	0	0.02963	0.01925	
3D	5.344	8.354	0.002644	0.001485	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	1.457	1.447	
3P	0	0	1.484	1.437	
3D	-0.1373	0.269	0.8998	0.8312	
-					
MENDELEVIUM	101	Md	179	13	166
5S	0	0	0.02724	0.02067	
6S	0	0	0.005359	0.004057	
4P	0	0	0	0.1958	
5P	0	0	0.08298	0.06388	
6P	0	4.813	0.0132	0.01012	
4D	0	0	0.5678	0.4806	
5D	0	0	0.1516	0.1182	
6D	4.668	0.8537	0.001123	0.000819	
4F	0	0	1.797	1.196	
5F	0	2.427	0.1554	0.1069	
-					
MERCURY	80	Hg	184	184	208
4S	0	0	0.04686	0.03613	
5S	0	0	0.01096	0.00832	
6S	0.03832	0.07948	0.0009515	0.0007073	
4P	0	0	0.1593	0.1256	
5P	0	0	0.03199	0.02422	
4D	0	0	0.3747	0.2843	
5D	13.25	46.47	0.04053	0.03054	
4F	0	0	0.4584	0.2767	
-					
MOLYBDENUM	42	Mo	84	181	181
3S	0	0	0.04327	0.03257	
4S	0	0	0.00821	0.006087	
5S	0.04124	0.03754	0.0003026	0.0002234	
3P	0	0	0.1683	0.1211	
4P	0	0	0.02476	0.01773	
3D	0	0	0.2186	0.1303	
4D	26.29	8.484	0.007272	0.004461	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.611	1.612	
4P	0	0	1.667	1.649	
3D	0	0	1.208	1.185	
4D	0.289	1.026	1.235	1.197	
-					
NEODYMIUM	60	Nd	199	255	199
3S	0	0	0	0.06587	
4S	0	0	0.02617	0.01968	
5S	0	0	0.004689	0.003462	
6S	0.09182	0.06629	0.0004307	0.000331	
3P	0	0	0	0.2757	
4P	0	0	0.09082	0.06732	
5P	0	2.79	0.01335	0.009714	
3D	0	0	1.269	0.8284	
4D	0	0	0.162	0.1103	
4F	0.6961	2.833	0.0113	0.006324	
-					
NEON	10	Ne	179	227	245
1S	0	0	0.1328	0.08612	
2S	0	0	0.006211	0.004062	
2P	6.514	8.929	0.002514	0.00136	
asymmetry					
1S	2	2	2	2	
2S	2	2	2	2	
2P	-0.396	0.9739	0.7645	0.6958	
-					
NEPTUNIUM	93	Np	0	128	255
4S	0	0	0.06378	0.05002	
5S	0	0	0.02114	0.01575	
4P	0	0	0.2106	0.1707	
5P	0	0	0.06392	0.04926	
